Origen,Destino,Total
lacaixa.es,laspalmasgc.es,2
lacaixa.es,segurcaixadeslas.es,2
lacaixa.es,indukern.es,3
lacaixa.es,aqualogy.net,5
mrxasp13.lacaixa.es,gmail.com;<,2
lacaixa.es,hp.,1
lacaixa.es,lafarga.es,2
lacaixa.es,ohl.es,3
gestoriacasals.com,gestoriacasals.com,14
lacaixa.es,miro.es,1
gestoriacoll.com,cufain.net,3
lacaixa.es,celsauk.com,4
lacaixa.es,sandoz.com,1
cavaller.es,grupobbva.com,20
experis-spain.es,ext,1
itnow.es,anyhelp.com,6
gdscusa.es,gdscusa.es,2
lacaixa.es,acsa.es,10
lacaixa.es,gestamp.com,4
lists.corresponsables.com,lacaixa.es,4
lacaixa.es,capgemini.es,4
lacaixa.es,logista.es,2
lacaixa.es,volkswagen.de,2
lacaixa.es,caser.es,6
lacaixa.es,elcorteingles.es,2
int-it.net,lacaixa.es,3
lacaixa.es,nh-hotels.com,2
lacaixa.es,abv.bg,2
itaasp01.ia.lacaixa.es,itnow.es,1
lacaixa.es,oxylane.com,5
lacaixa.es,proveedorex,2
lacaixa.es,puertodelacruz.es,2
lacaixa.es,ogilvy.com,1
gestoriacasals.com,entesis.net,4
lacaixa.es,cap,2
lacaixa.es,tf7mnasr02.lacaixa.es,1
murex.com,everis.com,5
lacaixa.es,ull.es,2
wellsfargo.com,invercaixa.es,1
itnow.es,externos.itnow.es,15
lacaixa.es,arrakis.es,1
lacaixa.es,cirsa.com,2
lacaixa.es,elpower.com,4
lacaixa.es,proveedorexterno.vidacaixa.es,1
lacaixa.es,roca.net,2
lacaixa.es,vidacaixa.es,11
lacaixa.es,gcelsa.com,5
lacaixa.es,ferrergrupo.com;,2
serviciosbancarios.com,serviciosbancarios.com,2
lacaixa.es,conselleriadefacenda.,4
lacaixa.es,saint-gobain.com,2
lacaixa.es,lacaixa.es;dp,2
lacaixa.es,aresa.es,3
lacaixa.es,sorea.cat,4
lacaixa.es,mutuauniversal.net,4
lacaixa.es,metrofang.com,2
lacaixa.es,agromillora.com,2
lacaixa.es,epi.es,1
lacaixa.es,tec,3
icaasp52.lacaixa.es,capgemini.com,2
lacaixa.es,acciona.com,6
gestoriacasals.com,pujolasos.com,2
lacaixa.es,fcc.es,8
lacaixa.es,syrcar.es,1
lacaixa.es,pratsabat.com,2
comerciaglobalpay.com,comerciaglobalpay.com,2
gestoriacasals.com,comit.cat,1
lists.corresponsables.com,fundaciolacaixa.es,2
lacaixa.es,dragadosindustrial.com,2
lacaixa.es,finconsum.es,2
lacaixa.es,sice.com,1
lacaixa.es,s,1
promocaixa.es,promocaixa.es,3
lacaixa.es,diagroup.com,46
segurcaixaholding.com,tecnocom.es,3
lacaixa.net.cn,lacaixa.net.cn,2
lacaixa.es,medgaz.com,1
lacaixa.es,damm.es,1
lacaixa.es,talgo.com,1
glc.es,itnow.es,2
lacaixa.es,circulo.es,2
lacaixa.es,gth.es,1
lacaixa.es,yahoo.es,12
