Origen,Destino,Total
lacaixa.es,yahoo.com,3
lacaixa.es,arnet.com.ar,3
lacaixa.es,cotasp02.lacaixa.es,2
lacaixa.es,aqualogy.net,1
everis.com,lacaixa.es,5
lacaixa.es,silk.es,8
lacaixa.es,msn.com,1
lacaixa.es,lacaixa.es;,2
lacaixa.es,cap,2
lacaixa.es,ono.com,2
int-it.net,lacaixa.es,6
telefonica.es,itnow.es,4
lacaixa.es,activamutua.es,2
lacaixa.es,mtp.es,2
glc.es,capgemini.com,2
capgemini.com,capgemini.com,1
lacaixa.es,gmail.com,39
glc.es,itnow.es,4
gdscusa.es,gdscusa.es,2
lacaixa.es,hp.com,21
tecnocom.es,lacaixa.es,4
lacaixa.es,capgemini.es,4
lacaixa.es,trbasp01.lacaixa.es,7
lacaixa.es,cotasp01.lacaixa.es,4
lacaixa.es,lacaixa.es;dp,2
lacaixa.es,lge.com,1
lacaixa.es,cx.es.sogeti.com,1
lacaixa.es,fchandbol.com,2
lacaixa.es,clix.pt,1
lacaixa.es,proveedorexterno,1
lacaixa.es,proveedorexterno.com;josepablo.a,1
lacaixa.es,externos.itnow.es,31
silk.es,externos.itnow.es,12
lacaixa.es,cincodias.es,1
lacaixa.es,infotelwi.es,1
lacaixa.es,caixacard.net,6
lacaixa.es,itnow.es,30
mrxasp13.lacaixa.es,everis.com,2
lacaixa.es,mrxasp13.lacaixa.es,3
intrtst.ia.lacaixa.es,elacaixa.com,2
lacaixa.es,grechnavarro.com,4
lacaixa.es,hpcds.com,2
gmail.com,caixacard.net,2
lacaixa.es,ts.fujitsu.com;,11
lacaixa.es,hp.com;ju,2
lacaixa.es,itadbp01.ia.lacaixa.es,1
lacaixa.es,vidacaixa.com,2
lacaixa.es,tecnocom.e,2
lacaixa.es,hotmail.es,4
lacaixa.es,synte.es,2
lacaixa.es,itadbp05.ia.lacaixa.es,2
indra.es,indra.es,2
lacaixa.es,monseovp01.lacaixa.es,2
sanasr02.com,externos.itnow.es,6
lacaixa.es,tinet.org,2
lacaixa.es,segurcaixa,32
lacaixa.es,tecnocom,1
lacaixa.es,tec,3
lacaixa.es,hotmail.com,67
icaasp52.lacaixa.es,capgemini.com,1
lacaixa.es,accenture.com,1
lacaixa.es,mail.com,3
lacaixa.es,sistemaics.com,4
itnow.es,lacaixa.es,2
lacaixa.es,proveedorex,3
itnow.es,externos.itnow.es,6
lacaixa.es,yahoo.es,4
lacaixa.es,sanasr02.com,2
itnow.es,itnow.es,5
lacaixa.es,avanade.com,2
silk.es,itnow.es,4
lacaixa.es,capgemini.com,1
elacaixa.com,ts.fujitsu.com,12
segurcaixaholding.com,segurcaixaholding.com,1
lacaixa.es,lacaixa.es,20
lacaixa.es,ts.fujitsu.com,4
segurcaixaholding.com,tecnocom.es,3
lacaixa.es,gdscusa.es,1
lacaixa.es,tf7mnasr02.lacaixa.es,2
lacaixa.es,grcasp01.lacaixa.es,1
