Origen,Destino,Total
lacaixa.es,arquivir.com,2
lacaixa.es,hp.,2
lacaixa.es,cotasp02.lacaixa.es,3
lacaixa.es,msn.com,3
capgemini.com,capgemini.com,2
lacaixa.es,ono.com,2
lacaixa.es,naturgel.com,3
lacaixa.es,itadbp01.ia.lacaixa.es,1
indra.es,indrabmb.es,3
silk.es,itnow.es,1
lacaixa.es,ejecutivos.com,2
glc.es,capgemini.com,2
reportmailer001.reports.messagelabs.com,itnow.es,2
lacaixa.es,gmail.com,31
glc.es,itnow.es,2
itnow.es,itnow.es,4
lacaixa.es,casamayorperfiles.com,1
lacaixa.es,hp.com,17
lacaixa.es,capgemini.es,4
lacaixa.es,cotasp01.lacaixa.es,4
lacaixa.es,lacaixa.es;dp,2
lacaixa.es,tecnocom.e,1
lacaixa.es,externos.itnow.es,12
lacaixa.es,rhnasp03.lacaixa.es,2
lacaixa.es,caixacard.net,7
lacaixa.es,itnow.es,14
lacaixa.es,inicia.es,1
glc.es,externos.itnow.es,2
segurcaixaholding.com,vidacaixa.com,3
lacaixa.es,tf7mnasr02.lacaixa.es,1
lacaixa.es,cap,1
lacaixa.es,hpcds.com,2
gmail.com,caixacard.net,1
lacaixa.es,segurcaixa,27
lacaixa.es,netapp.com,38
lacaixa.es,hotmail.com,68
lacaixa.es,accenture.com,3
gmail.com,criteria.com,1
lacaixa.es,vidacaixa.com,5
lacaixa.es,movilblack.com,2
lacaixa.es,hotmail.es,13
lacaixa.es,vermendgroup.com,4
lacaixa.es,ugr.es,3
lacaixa.es,itnow,2
lacaixa.es,capgemini.com,14
lacaixa.es,monseovp01.lacaixa.es,1
lacaixa.es,live.com,2
lacaixa.es,proveedorexterno.com;josepablo.a,1
lacaixa.es,callejas.cat,2
lacaixa.es,tecnocom,1
lacaixa.es,tecnocom.es,1
lacaixa.es,icloud.com,6
icaasp52.lacaixa.es,capgemini.com,2
lacaixa.es,hp.com;ju,2
lacaixa.es,tec,4
lacaixa.es,indrabmb.es,3
itnow.es,lacaixa.es,2
lacaixa.es,avanade.com,2
lacaixa.es,yahoo.es,5
indra.es,nextret.net,3
lacaixa.es,gransolar.com,3
lacaixa.es,proveedorex,4
lacaixa.es,silk.es,40
tecnocom.es,lacaixa.es,4
elacaixa.com,ts.fujitsu.com,6
segurcaixaholding.com,segurcaixaholding.com,1
lacaixa.es,lacaixa.es,2
segurcaixaholding.com,tecnocom.es,2
lacaixa.es,grcasp01.lacaixa.es,1
