Categories,Septiembre,Octubre,Noviembre,Diciembre,Enero
Información confidencial,0,0,0,0,0
Datos de clientes y empleados,3074,4097,4145,3342,5073
Documentación Interna,458,620,548,404,574
Protección contra fraudes en tarjetas,867,1091,860,1078,1065
Envíos a medios de comunicación,218,182,150,383,167
