Categories,Datos Generales,Clientes y empleados,Documentacion Interna,Fraudes en tarjetas,Envios a medios,Adjuntos a Webmail
01/02/2014,28,620,0,46,0,208
02/02/2014,43,21,3,30,0,214
03/02/2014,1282,288,25,42,3,5618
04/02/2014,1184,131,21,51,5,5973
05/02/2014,1109,219,34,33,4,5780
06/02/2014,1117,178,24,48,4,6687
07/02/2014,0,0,0,0,0,0
