Categories,Información confidencial,Datos de clientes y empleados,Documentación Interna,Protección contra fraudes en tarjetas,Envíos a medios de comunicación
01/10/2013,0,218,44,74,8
02/10/2013,0,151,43,42,12
03/10/2013,0,166,29,56,8
04/10/2013,0,110,34,44,6
05/10/2013,0,33,1,14,3
06/10/2013,0,148,0,20,1
07/10/2013,0,0,0,0,0
