Fecha,Información confidencial,Datos de clientes y empleados,Documentación Interna,Protección contra fraudes en tarjetas,Envíos a medios de comunicación,Envio de adjuntos a WebMail
17/09/2013,0,118,21,38,6,7305,55
18/09/2013,0,116,15,51,9,9218,121
19/09/2013,0,146,14,34,14,9744,311
20/09/2013,0,125,22,34,15,8255,111
21/09/2013,0,168,3,20,12,139,97
22/09/2013,0,2,3,15,1,77,1
23/09/2013,0,90,18,37,4,8188,45
